--------------------
BDMEP - INMET
--------------------
Estação           : NATAL - RN (OMM: 82598)
Latitude  (graus) : -5.91
Longitude (graus) : -35.2
Altitude  (metros): 48.60
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/1980 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82598;24/01/1984;1200;0;;26;;;;;;
82598;25/01/1984;0000;;30.4;;9.9;10.5;;;;
82598;25/01/1984;1200;0;;25.8;;;;;;
82598;26/01/1984;0000;;31.2;;9.8;10.5;;;;
82598;26/01/1984;1200;0;;25.4;;;;;;
82598;27/01/1984;0000;;30;;6.6;4.5;;;;
82598;27/01/1984;1200;5.3;;23.4;;;;;;
82598;28/01/1984;0000;;30.4;;10.3;7.5;;;;
82598;28/01/1984;1200;0;;24.4;;;;;;
82598;29/01/1984;0000;;30.6;;10.4;8.3;;;;
82598;29/01/1984;1200;0;;25.8;;;;;;
82598;30/01/1984;0000;;30.9;;10.5;8.2;;;;
82598;30/01/1984;1200;0;;26.3;;;;;;
82598;31/01/1984;0000;;30.8;;10.9;8.5;28;73.25;6;
82598;31/01/1984;1200;0;;25.8;;;;;;
82598;01/02/1984;0000;;30.8;;11.1;11;27.72;67.25;6.3;
82598;01/02/1984;1200;0;;24.2;;;;;;
82598;02/02/1984;0000;;30.8;;11;5;28.2;70.25;6.166667;
82598;02/02/1984;1200;0;;26;;;;;;
82598;03/02/1984;0000;;31.2;;9.9;10.5;;;;
82598;03/02/1984;1200;0;;25.4;;;;;;
82598;04/02/1984;0000;;30.3;;4.3;8.5;27.14;85;3.533333;
82598;04/02/1984;1200;0;;24;;;;;;
82598;05/02/1984;0000;;29;;4.9;3.5;26.6;80;6.033333;
82598;05/02/1984;1200;11.2;;23.8;;;;;;
82598;06/02/1984;0000;;26.6;;0.1;5.6;;;;
82598;06/02/1984;1200;20.4;;22.6;;;;;;
82598;07/02/1984;0000;;30;;6.3;3.4;27.04;83;3.833333;
82598;07/02/1984;1200;5.5;;24;;;;;;
82598;08/02/1984;0000;;30.4;;10.8;6.2;27.88;73.75;5.866667;
82598;08/02/1984;1200;0;;26;;;;;;
82598;09/02/1984;0000;;30.6;;9.9;5.8;27.12;77.5;6.233333;
82598;09/02/1984;1200;0;;22;;;;;;
