,lab1,lab2,lab3,lab4,lab5,exe1,exe2,exe3,exe4,exe5
4212,10.0,10.0,10.0,8.0,8.0,6.666666666666667,8.494444444444444,8.666666666666668,9.375,2.5
4213,10.0,10.0,10.0,8.0,8.0,6.666666666666667,8.494444444444444,8.666666666666668,1.25,2.5
4479,,,10.0,,10.0,,,4.0,1.25,3.125
4480,,,10.0,,10.0,,,4.0,0.625,3.125
4214,10.0,10.0,6.0,,2.0,4.0,4.444444444444444,7.333333333333333,,0.625
4215,10.0,10.0,2.0,6.0,,3.3333333333333335,8.88888888888889,0.6599999999999999,3.75,
4216,6.0,10.0,6.0,10.0,8.0,2.0,9.188888888888886,5.333333333333334,6.25,2.5
4409,,2.0,4.0,2.0,10.0,,2.777777777777778,2.0,4.0625,5.9375
4408,,2.0,4.0,2.0,10.0,,2.777777777777778,2.0,0.0,5.9375
4217,2.0,,,,,0.6666666666666667,,,,
4481,,,4.0,4.0,4.0,,,2.0,1.875,1.25
4482,,,6.0,,10.0,,,3.3333333333333335,,3.125
4410,,2.0,2.0,,,,0.5555555555555555,2.0,,
4218,10.0,10.0,10.0,10.0,10.0,7.333333333333333,10.0,10.0,10.0,3.125
4219,10.0,10.0,10.0,10.0,10.0,7.333333333333333,10.0,10.0,6.25,3.125
4220,10.0,10.0,10.0,,,5.333333333333334,6.111111111111112,8.0,0.625,
4221,4.0,10.0,4.0,,,2.0,5.0,3.3333333333333335,0.625,
4511,,,,,10.0,,,,,3.125
4411,,3.2,2.0,,10.0,,2.2055555555555557,2.0,0.0,9.375
4483,,,6.0,,10.0,,,6.0,,3.125
4484,,,2.0,,,,,2.0,,
4485,,,10.0,,10.0,,,4.0,0.625,3.125
4222,10.0,10.0,10.0,10.0,10.0,3.3333333333333335,8.88888888888889,9.333333333333332,5.625,9.375
4413,,6.0,6.0,,6.0,,5.555555555555556,5.333333333333334,1.25,3.125
